cluster_id,varietas,date,evi,ndvi
-1037565250,Inpari 32,2026-03-03,0.33919113874435425,0.4944837822929605
-1037565250,Inpari 32,2026-03-08,0.36329988728870044,0.1424065979270192
-1037565250,Inpari 32,2026-03-13,0.30749944549102287,0.4467543653853528
-1037565250,Inpari 32,2026-03-15,0.19559320023694596,0.3738381417540761
-1037565250,Inpari 32,2026-03-18,0.30085210289273945,0.38726924050163913
-1037565250,Inpari 32,2026-03-23,0.28275702003534736,0.44463221012771903
-1037565250,Inpari 32,2026-03-28,0.22684513588810895,0.13271947492930022
-1037565250,Inpari 32,2026-04-02,0.4188736193365865,0.07770013397970757
-1037565250,Inpari 32,2026-04-04,0.4698035449950726,0.2417871787563547
-1037565250,Inpari 32,2026-04-07,0.35344440383570536,0.4169569518659022
-1037565250,Inpari 32,2026-04-12,0.2437420374193749,0.427319646026794
-1037565250,Inpari 32,2026-04-17,0.22045808798306948,0.33997564172589934
-1037565250,Inpari 32,2026-04-22,0.190250117670406,0.06895960765806111
-1037565250,Inpari 32,2026-04-24,0.1824910594271375,0.3189489610202901
-1037565250,Inpari 32,2026-04-27,0.34176782692794677,0.3247094925541382
-1037565250,Inpari 32,2026-05-02,0.32151035500037206,0.14187726407469092
-1037565250,Inpari 32,2026-05-07,0.21700803906499566,0.40467562729662115
-1037565250,Inpari 32,2026-05-12,0.2723493684421886,0.4398644067250289
-1037565250,Inpari 32,2026-05-14,0.28177099045994997,0.4830567780640218
-1037565250,Inpari 32,2026-05-17,0.3937372278857541,0.6116124840525837
-1037565250,Inpari 32,2026-05-22,-0.44490121077601014,0.020398136920767366
-1037565250,Inpari 32,2026-05-27,0.5704476430818632,0.7445882556887417
-1037565250,Inpari 32,2026-06-01,0.5474632730731717,0.7752569453282789
-1037565250,Inpari 32,2026-06-03,0.5571349890201123,0.7645991978707252
-1037565250,Inpari 32,2026-06-06,0.2943630484598024,0.37600734481563813
-1037565250,Inpari 32,2026-06-11,0.5399048210351498,0.7444568069337251
-1037565250,Inpari 32,2026-06-16,0.5419148551179217,0.6114464026766938
-1037565250,Inpari 32,2026-06-21,0.5354003316009199,0.7039931772591231
-1037565250,Inpari 32,2026-06-23,0.41210212664944784,0.087763124955939
-1037565250,Inpari 32,2026-06-26,0.4858849997837822,0.7111148158838223
-1037565250,Inpari 32,2026-07-01,0.46068786984527266,0.7313354869748091
-1037565250,Inpari 32,2026-07-06,0.4560906213599366,0.6814598265986938
-1037565250,Inpari 32,2026-07-11,0.42753518314717653,0.6482692137360573
-1037565250,Inpari 32,2026-07-13,0.4131526512565551,0.6142100012534625
-1037565250,Inpari 32,2026-07-16,0.40881952062829746,0.5923733880574052
-1037565250,Inpari 32,2026-07-21,0.3527461181987416,0.5606163802084985
-1037565250,Inpari 32,2026-07-26,0.2913245375860821,0.481591314657942
-1037565250,Inpari 32,2026-07-31,0.22562781194007242,0.370184023707331
-1037565250,Inpari 32,2026-08-02,0.1997585136975561,0.35132290471296806
-1037565250,Inpari 32,2026-08-05,0.18690109852846568,0.3169599569269589
-1037565250,Inpari 32,2026-08-10,0.20189438111983338,0.32197296483950183
-1037565250,Inpari 32,2026-08-15,0.19927992168572042,0.31441409498840184
-1037565250,Inpari 32,2026-08-20,-0.13550236281733236,0.032344877373278985
-1037565250,Inpari 32,2026-08-25,0.24902445755221628,0.3929234160134545
-1037565250,Inpari 32,2026-08-30,0.09216423432475754,0.34267878625541925
-1037565250,Inpari 32,2026-09-04,0.29730442998471196,0.41185519554011235
337423992,Srinuk,2026-03-03,0.28011813257114,0.44556583482098866
337423992,Srinuk,2026-03-08,0.37902847901884335,0.12222989980714867
337423992,Srinuk,2026-03-13,0.3746189475059509,0.5949651997491537
337423992,Srinuk,2026-03-15,0.141434009893831,0.4326476680945201
337423992,Srinuk,2026-03-18,0.41588099121329297,0.6114343451448234
337423992,Srinuk,2026-03-23,0.4228689561048186,0.6757908739957464
337423992,Srinuk,2026-03-28,0.20985246925468903,0.500293673880129
337423992,Srinuk,2026-04-02,0.4896654508200036,0.15703753579452814
337423992,Srinuk,2026-04-04,0.5625880915357406,0.24455314210380416
337423992,Srinuk,2026-04-07,0.45570488651114777,0.7079033844442253
337423992,Srinuk,2026-04-12,0.4500930876616972,0.727009160690997
337423992,Srinuk,2026-04-17,0.49354779684399985,0.6557247548936361
337423992,Srinuk,2026-04-22,0.15116152863006993,0.04684617058430091
337423992,Srinuk,2026-04-24,0.4202744102621653,0.6551686449941382
337423992,Srinuk,2026-04-27,0.29844181006213266,0.4799227542187794
337423992,Srinuk,2026-05-02,0.13567272223621965,0.5815660170761936
337423992,Srinuk,2026-05-07,0.39817158716270723,0.6410319255777153
337423992,Srinuk,2026-05-12,0.3567253028053835,0.5585526091506682
337423992,Srinuk,2026-05-14,0.3361484688448619,0.5493787038757141
337423992,Srinuk,2026-05-17,0.3771884969199996,0.45971868267978533
337423992,Srinuk,2026-05-22,0.01551251589455249,0.011105024810888839
337423992,Srinuk,2026-05-27,0.32651027462568627,0.5166796259133213
337423992,Srinuk,2026-06-01,0.28879071036017084,0.5009904130395636
337423992,Srinuk,2026-06-03,0.2606737184596349,0.474426874913365
337423992,Srinuk,2026-06-06,0.1806372112134494,0.18889792043581066
337423992,Srinuk,2026-06-11,0.14412286473685001,0.30619249681392346
337423992,Srinuk,2026-06-16,0.195923118347145,0.3067001806325223
337423992,Srinuk,2026-06-21,0.15028645529086332,0.2842461290847824
337423992,Srinuk,2026-06-23,0.22565427712018948,-0.014118607315874422
337423992,Srinuk,2026-06-26,0.17159819369574628,0.3260194167315242
337423992,Srinuk,2026-07-01,0.1630015059048871,0.3545366243784686
337423992,Srinuk,2026-07-06,0.12251834723963795,0.29053477835224334
337423992,Srinuk,2026-07-11,0.12719989262790565,0.2907263604273279
337423992,Srinuk,2026-07-13,0.13211683013353004,0.31127115078719264
