cluster_id,kelas_sawah,varietas,date,sensor,evi,ndvi
-2063126117,sawah,Rojolele Srinuk,19960117,Landsat-5,0.17593188630367426,0.38193134812824375
-2063126117,sawah,Rojolele Srinuk,19960314,Landsat-5,0.3521055495093186,0.6096153234161412
-2063126117,sawah,Rojolele Srinuk,19960508,Landsat-5,0.41144183806001566,0.6854854236654104
-2063126117,sawah,Rojolele Srinuk,19960517,Landsat-5,0.37224848092701796,0.5688315737573989
-2063126117,sawah,Rojolele Srinuk,19960524,Landsat-5,0.25043698075511417,0.4240511661176533
-2063126117,sawah,Rojolele Srinuk,19960625,Landsat-5,0.16369584127214737,0.3034501507427484
-2063126117,sawah,Rojolele Srinuk,19960812,Landsat-5,0.5262383451507944,0.7885591042906863
-2063126117,sawah,Rojolele Srinuk,19960821,Landsat-5,0.5880693138387264,0.8144652231117883
-2063126117,sawah,Rojolele Srinuk,19960906,Landsat-5,0.5931415726864562,0.7362150067498227
-2063126117,sawah,Rojolele Srinuk,19960913,Landsat-5,0.5339809422399483,0.719679128889944
-2063126117,sawah,Rojolele Srinuk,19960922,Landsat-5,0.42899627911076726,0.6038180049993039
-2063126117,sawah,Rojolele Srinuk,19960929,Landsat-5,0.295031659711738,0.4672951234980033
-2063126117,sawah,Rojolele Srinuk,19961125,Landsat-5,0.29242500420177425,0.5573916629063269
-2063126117,sawah,Rojolele Srinuk,19970112,Landsat-5,0.5937680457094497,0.7927445625924168
-2063126117,sawah,Rojolele Srinuk,19970204,Landsat-5,0.3487378366890725,0.6388629735201807
-2063126117,sawah,Rojolele Srinuk,19970301,Landsat-5,0.273261827974341,0.49863039297837747
-2063126117,sawah,Rojolele Srinuk,19970308,Landsat-5,0.24081785421322993,0.44882800182409816
-2063126117,sawah,Rojolele Srinuk,19970317,Landsat-5,0.2504748400471083,0.4982232648886697
-2063126117,sawah,Rojolele Srinuk,19970324,Landsat-5,0.16568864009221362,0.35324940422656215
